instant,date,season,year,month,holiday,weekday,workingday,weather_condition,temp,atemp,humidity,windspeed,casual,registered,count,hour
1,2011-01-01,Spring,2011,Jan,Not Holiday,Sat,Holiday,Mist + Cloudy,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,0
1,2011-01-01,Spring,2011,Jan,Not Holiday,Sat,Holiday,Mist + Cloudy,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,1
1,2011-01-01,Spring,2011,Jan,Not Holiday,Sat,Holiday,Mist + Cloudy,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,2
1,2011-01-01,Spring,2011,Jan,Not Holiday,Sat,Holiday,Mist + Cloudy,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,3
1,2011-01-01,Spring,2011,Jan,Not Holiday,Sat,Holiday,Mist + Cloudy,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,4
1,2011-01-01,Spring,2011,Jan,Not Holiday,Sat,Holiday,Mist + Cloudy,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,5
1,2011-01-01,Spring,2011,Jan,Not Holiday,Sat,Holiday,Mist + Cloudy,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,6
1,2011-01-01,Spring,2011,Jan,Not Holiday,Sat,Holiday,Mist + Cloudy,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,7
1,2011-01-01,Spring,2011,Jan,Not Holiday,Sat,Holiday,Mist + Cloudy,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,8
1,2011-01-01,Spring,2011,Jan,Not Holiday,Sat,Holiday,Mist + Cloudy,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,9
1,2011-01-01,Spring,2011,Jan,Not Holiday,Sat,Holiday,Mist + Cloudy,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,10
1,2011-01-01,Spring,2011,Jan,Not Holiday,Sat,Holiday,Mist + Cloudy,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,11
1,2011-01-01,Spring,2011,Jan,Not Holiday,Sat,Holiday,Mist + Cloudy,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,12
1,2011-01-01,Spring,2011,Jan,Not Holiday,Sat,Holiday,Mist + Cloudy,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,13
1,2011-01-01,Spring,2011,Jan,Not Holiday,Sat,Holiday,Mist + Cloudy,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,14
1,2011-01-01,Spring,2011,Jan,Not Holiday,Sat,Holiday,Mist + Cloudy,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,15
1,2011-01-01,Spring,2011,Jan,Not Holiday,Sat,Holiday,Mist + Cloudy,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,16
1,2011-01-01,Spring,2011,Jan,Not Holiday,Sat,Holiday,Mist + Cloudy,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,17
1,2011-01-01,Spring,2011,Jan,Not Holiday,Sat,Holiday,Mist + Cloudy,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,18
1,2011-01-01,Spring,2011,Jan,Not Holiday,Sat,Holiday,Mist + Cloudy,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,19
1,2011-01-01,Spring,2011,Jan,Not Holiday,Sat,Holiday,Mist + Cloudy,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,20
1,2011-01-01,Spring,2011,Jan,Not Holiday,Sat,Holiday,Mist + Cloudy,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,21
1,2011-01-01,Spring,2011,Jan,Not Holiday,Sat,Holiday,Mist + Cloudy,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,22
1,2011-01-01,Spring,2011,Jan,Not Holiday,Sat,Holiday,Mist + Cloudy,14.110847,18.18125,80.58330000000001,10.749882,331,654,985,23
2,2011-01-02,Spring,2011,Jan,Not Holiday,Sun,Holiday,Mist + Cloudy,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,0
2,2011-01-02,Spring,2011,Jan,Not Holiday,Sun,Holiday,Mist + Cloudy,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,1
2,2011-01-02,Spring,2011,Jan,Not Holiday,Sun,Holiday,Mist + Cloudy,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,2
2,2011-01-02,Spring,2011,Jan,Not Holiday,Sun,Holiday,Mist + Cloudy,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,3
2,2011-01-02,Spring,2011,Jan,Not Holiday,Sun,Holiday,Mist + Cloudy,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,4
2,2011-01-02,Spring,2011,Jan,Not Holiday,Sun,Holiday,Mist + Cloudy,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,6
2,2011-01-02,Spring,2011,Jan,Not Holiday,Sun,Holiday,Mist + Cloudy,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,7
2,2011-01-02,Spring,2011,Jan,Not Holiday,Sun,Holiday,Mist + Cloudy,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,8
2,2011-01-02,Spring,2011,Jan,Not Holiday,Sun,Holiday,Mist + Cloudy,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,9
2,2011-01-02,Spring,2011,Jan,Not Holiday,Sun,Holiday,Mist + Cloudy,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,10
2,2011-01-02,Spring,2011,Jan,Not Holiday,Sun,Holiday,Mist + Cloudy,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,11
2,2011-01-02,Spring,2011,Jan,Not Holiday,Sun,Holiday,Mist + Cloudy,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,12
2,2011-01-02,Spring,2011,Jan,Not Holiday,Sun,Holiday,Mist + Cloudy,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,13
2,2011-01-02,Spring,2011,Jan,Not Holiday,Sun,Holiday,Mist + Cloudy,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,14
2,2011-01-02,Spring,2011,Jan,Not Holiday,Sun,Holiday,Mist + Cloudy,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,15
2,2011-01-02,Spring,2011,Jan,Not Holiday,Sun,Holiday,Mist + Cloudy,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,16
2,2011-01-02,Spring,2011,Jan,Not Holiday,Sun,Holiday,Mist + Cloudy,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,17
2,2011-01-02,Spring,2011,Jan,Not Holiday,Sun,Holiday,Mist + Cloudy,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,18
2,2011-01-02,Spring,2011,Jan,Not Holiday,Sun,Holiday,Mist + Cloudy,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,19
2,2011-01-02,Spring,2011,Jan,Not Holiday,Sun,Holiday,Mist + Cloudy,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,20
2,2011-01-02,Spring,2011,Jan,Not Holiday,Sun,Holiday,Mist + Cloudy,14.902598000000001,17.686950000000003,69.6087,16.652113,131,670,801,21
